comp_ref,Compound,smiles,IP,EA,HOMO,LUMO,Dipole,Polarizability,Egap,Electronegativity,Chemical hardness,Global softness,Electrophilicity,deltaN,Total Molweight,cLogP,cLogS,H-Acceptors,H-Donors,Total Surface Area,Relative PSA,Polar Surface Area,Fragments,Non-H Atoms,Non-C/H Atoms,Metal-Atoms,Electronegative Atoms,Stereo Centers,Rotatable Bonds,Rings Closures,Aromatic Atoms,sp3-Atoms,Symmetric atoms,Small Rings,Carbo-Rings,Hetero-Rings,Saturated Rings,Non-Aromatic Rings,Aromatic Rings,Saturated Carbo-Rings,Non-Aromatic Carbo-Rings,Carbo-Aromatic Rings,Saturated Hetero-Rings,Non-Aromatic Hetero-Rings,Hetero-Aromatic Rings,Amides,Amines,Alkyl-Amines,Aromatic Amines,Aromatic Nitrogens,Basic Nitrogens,Acidic Oxygens,ConcInh_M,TempK,Time_H,Med_ConcM,Med_ID,Method,IE
comp_1,"2-[(6-ethyl-4-hydroxy-2,5-dioxo-5,6-dihydro-2 H -pyrano [3,2- c ]quinolin-3-yl)methylidene] hydrazinecarbodithioic acid",CCn3c(=O)c1c(C)c(/C=N/NC(=S)S)c(=O)oc1c2ccccc23,6.239026638,3.067811685,-6.239026638,-3.067811685,13.055,503.49,3.171214953,4.653419162,1.585607477,0.630673111,6.828395494,-0.739962719,373.456,1.8914,-4.621,6,1,270.97,0.4178,141.89,1,25,8,0,8,0,3,3,6,6,0,3,1,2,0,2,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0.0000001,298,1,1,HCl,PDP,55.3
comp_1,"2-[(6-ethyl-4-hydroxy-2,5-dioxo-5,6-dihydro-2 H -pyrano [3,2- c ]quinolin-3-yl)methylidene] hydrazinecarbodithioic acid",CCn3c(=O)c1c(C)c(/C=N/NC(=S)S)c(=O)oc1c2ccccc23,6.239026638,3.067811685,-6.239026638,-3.067811685,13.055,503.49,3.171214953,4.653419162,1.585607477,0.630673111,6.828395494,-0.739962719,373.456,1.8914,-4.621,6,1,270.97,0.4178,141.89,1,25,8,0,8,0,3,3,6,6,0,3,1,2,0,2,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0.000001,298,1,1,HCl,PDP,59
comp_1,"2-[(6-ethyl-4-hydroxy-2,5-dioxo-5,6-dihydro-2 H -pyrano [3,2- c ]quinolin-3-yl)methylidene] hydrazinecarbodithioic acid",CCn3c(=O)c1c(C)c(/C=N/NC(=S)S)c(=O)oc1c2ccccc23,6.239026638,3.067811685,-6.239026638,-3.067811685,13.055,503.49,3.171214953,4.653419162,1.585607477,0.630673111,6.828395494,-0.739962719,373.456,1.8914,-4.621,6,1,270.97,0.4178,141.89,1,25,8,0,8,0,3,3,6,6,0,3,1,2,0,2,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0.00001,298,1,1,HCl,PDP,65.6
comp_1,"2-[(6-ethyl-4-hydroxy-2,5-dioxo-5,6-dihydro-2 H -pyrano [3,2- c ]quinolin-3-yl)methylidene] hydrazinecarbodithioic acid",CCn3c(=O)c1c(C)c(/C=N/NC(=S)S)c(=O)oc1c2ccccc23,6.239026638,3.067811685,-6.239026638,-3.067811685,13.055,503.49,3.171214953,4.653419162,1.585607477,0.630673111,6.828395494,-0.739962719,373.456,1.8914,-4.621,6,1,270.97,0.4178,141.89,1,25,8,0,8,0,3,3,6,6,0,3,1,2,0,2,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0.0001,298,1,1,HCl,PDP,70.1
comp_1,"2-[(6-ethyl-4-hydroxy-2,5-dioxo-5,6-dihydro-2 H -pyrano [3,2- c ]quinolin-3-yl)methylidene] hydrazinecarbodithioic acid",CCn3c(=O)c1c(C)c(/C=N/NC(=S)S)c(=O)oc1c2ccccc23,6.239026638,3.067811685,-6.239026638,-3.067811685,13.055,503.49,3.171214953,4.653419162,1.585607477,0.630673111,6.828395494,-0.739962719,373.456,1.8914,-4.621,6,1,270.97,0.4178,141.89,1,25,8,0,8,0,3,3,6,6,0,3,1,2,0,2,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0.001,298,1,1,HCl,PDP,85.1
comp_1,"2-[(6-ethyl-4-hydroxy-2,5-dioxo-5,6-dihydro-2 H -pyrano [3,2- c ]quinolin-3-yl)methylidene] hydrazinecarbodithioic acid",CCn3c(=O)c1c(C)c(/C=N/NC(=S)S)c(=O)oc1c2ccccc23,6.239026638,3.067811685,-6.239026638,-3.067811685,13.055,503.49,3.171214953,4.653419162,1.585607477,0.630673111,6.828395494,-0.739962719,373.456,1.8914,-4.621,6,1,270.97,0.4178,141.89,1,25,8,0,8,0,3,3,6,6,0,3,1,2,0,2,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0.0000001,298,1,1,HCl,EIS,52.17
comp_1,"2-[(6-ethyl-4-hydroxy-2,5-dioxo-5,6-dihydro-2 H -pyrano [3,2- c ]quinolin-3-yl)methylidene] hydrazinecarbodithioic acid",CCn3c(=O)c1c(C)c(/C=N/NC(=S)S)c(=O)oc1c2ccccc23,6.239026638,3.067811685,-6.239026638,-3.067811685,13.055,503.49,3.171214953,4.653419162,1.585607477,0.630673111,6.828395494,-0.739962719,373.456,1.8914,-4.621,6,1,270.97,0.4178,141.89,1,25,8,0,8,0,3,3,6,6,0,3,1,2,0,2,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0.000001,298,1,1,HCl,EIS,62.72
comp_1,"2-[(6-ethyl-4-hydroxy-2,5-dioxo-5,6-dihydro-2 H -pyrano [3,2- c ]quinolin-3-yl)methylidene] hydrazinecarbodithioic acid",CCn3c(=O)c1c(C)c(/C=N/NC(=S)S)c(=O)oc1c2ccccc23,6.239026638,3.067811685,-6.239026638,-3.067811685,13.055,503.49,3.171214953,4.653419162,1.585607477,0.630673111,6.828395494,-0.739962719,373.456,1.8914,-4.621,6,1,270.97,0.4178,141.89,1,25,8,0,8,0,3,3,6,6,0,3,1,2,0,2,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0.00001,298,1,1,HCl,EIS,67.78
comp_1,"2-[(6-ethyl-4-hydroxy-2,5-dioxo-5,6-dihydro-2 H -pyrano [3,2- c ]quinolin-3-yl)methylidene] hydrazinecarbodithioic acid",CCn3c(=O)c1c(C)c(/C=N/NC(=S)S)c(=O)oc1c2ccccc23,6.239026638,3.067811685,-6.239026638,-3.067811685,13.055,503.49,3.171214953,4.653419162,1.585607477,0.630673111,6.828395494,-0.739962719,373.456,1.8914,-4.621,6,1,270.97,0.4178,141.89,1,25,8,0,8,0,3,3,6,6,0,3,1,2,0,2,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0.0001,298,1,1,HCl,EIS,75.11
comp_1,"2-[(6-ethyl-4-hydroxy-2,5-dioxo-5,6-dihydro-2 H -pyrano [3,2- c ]quinolin-3-yl)methylidene] hydrazinecarbodithioic acid",CCn3c(=O)c1c(C)c(/C=N/NC(=S)S)c(=O)oc1c2ccccc23,6.239026638,3.067811685,-6.239026638,-3.067811685,13.055,503.49,3.171214953,4.653419162,1.585607477,0.630673111,6.828395494,-0.739962719,373.456,1.8914,-4.621,6,1,270.97,0.4178,141.89,1,25,8,0,8,0,3,3,6,6,0,3,1,2,0,2,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0.001,298,1,1,HCl,EIS,87.93
