comp_ref,Compound,smiles,IE,IP,EA,HL,Dipole,HOMO,LUMO,Electronegativity,Chemical hardness,Global softness,Electrophilicity,Number of e- transferred,Total Molweight,cLogP,cLogS,H-Acceptors,H-Donors,Total Surface Area,Relative PSA,Polar Surface Area,Total Molweight 2,cLogP 2,cLogS 2,H-Acceptors 2,H-Donors 2,Total Surface Area 2,Relative PSA 2,Polar Surface Area 2,Fragments,Non-H Atoms,Non-C/H Atoms,Metal-Atoms,Electronegative Atoms,Stereo Centers,Rotatable Bonds,Rings Closures,Aromatic Atoms,sp3-Atoms,Symmetric atoms,Small Rings,Carbo-Rings,Hetero-Rings,Saturated Rings,Non-Aromatic Rings,Aromatic Rings,Saturated Carbo-Rings,Non-Aromatic Carbo-Rings,Carbo-Aromatic Rings,Saturated Hetero-Rings,Non-Aromatic Hetero-Rings,Hetero-Aromatic Rings,Amides,Amines,Alkyl-Amines,Aromatic Amines,Aromatic Nitrogens,Basic Nitrogens,Acidic Oxygens,ConcInh_M,TempK,Time_H,Med_ConcM,Med_ID,Method
comp_1,"2-[(6-ethyl-4-hydroxy-2,5-dioxo-5,6-dihydro-2 H -pyrano [3,2- c ]quinolin-3-yl)methylidene] hydrazinecarbodithioic acid",CCn3c(=O)c1c(C)c(/C=N/NC(=S)S)c(=O)oc1c2ccccc23,55.3,8.824037,1.676545,7.147492,9.961496,-8.824037,-1.676545,5.250291,3.573746,0.279818431,3.856675262,-0.244800414,373.456,1.8914,-4.621,6,1,270.97,0.4178,141.89,373.456,1.8914,-4.621,6,1,270.97,0.4178,141.89,1,25,8,0,8,0,3,3,6,6,0,3,1,2,0,2,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0.0000001,298,1,1,HCl,PDP
comp_1,"2-[(6-ethyl-4-hydroxy-2,5-dioxo-5,6-dihydro-2 H -pyrano [3,2- c ]quinolin-3-yl)methylidene] hydrazinecarbodithioic acid",CCn3c(=O)c1c(C)c(/C=N/NC(=S)S)c(=O)oc1c2ccccc23,59,8.824037,1.676545,7.147492,9.961496,-8.824037,-1.676545,5.250291,3.573746,0.279818431,3.856675262,-0.244800414,373.456,1.8914,-4.621,6,1,270.97,0.4178,141.89,373.456,1.8914,-4.621,6,1,270.97,0.4178,141.89,1,25,8,0,8,0,3,3,6,6,0,3,1,2,0,2,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0.000001,298,1,1,HCl,PDP
comp_1,"2-[(6-ethyl-4-hydroxy-2,5-dioxo-5,6-dihydro-2 H -pyrano [3,2- c ]quinolin-3-yl)methylidene] hydrazinecarbodithioic acid",CCn3c(=O)c1c(C)c(/C=N/NC(=S)S)c(=O)oc1c2ccccc23,65.6,8.824037,1.676545,7.147492,9.961496,-8.824037,-1.676545,5.250291,3.573746,0.279818431,3.856675262,-0.244800414,373.456,1.8914,-4.621,6,1,270.97,0.4178,141.89,373.456,1.8914,-4.621,6,1,270.97,0.4178,141.89,1,25,8,0,8,0,3,3,6,6,0,3,1,2,0,2,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0.00001,298,1,1,HCl,PDP
comp_1,"2-[(6-ethyl-4-hydroxy-2,5-dioxo-5,6-dihydro-2 H -pyrano [3,2- c ]quinolin-3-yl)methylidene] hydrazinecarbodithioic acid",CCn3c(=O)c1c(C)c(/C=N/NC(=S)S)c(=O)oc1c2ccccc23,70.1,8.824037,1.676545,7.147492,9.961496,-8.824037,-1.676545,5.250291,3.573746,0.279818431,3.856675262,-0.244800414,373.456,1.8914,-4.621,6,1,270.97,0.4178,141.89,373.456,1.8914,-4.621,6,1,270.97,0.4178,141.89,1,25,8,0,8,0,3,3,6,6,0,3,1,2,0,2,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0.0001,298,1,1,HCl,PDP
comp_1,"2-[(6-ethyl-4-hydroxy-2,5-dioxo-5,6-dihydro-2 H -pyrano [3,2- c ]quinolin-3-yl)methylidene] hydrazinecarbodithioic acid",CCn3c(=O)c1c(C)c(/C=N/NC(=S)S)c(=O)oc1c2ccccc23,85.1,8.824037,1.676545,7.147492,9.961496,-8.824037,-1.676545,5.250291,3.573746,0.279818431,3.856675262,-0.244800414,373.456,1.8914,-4.621,6,1,270.97,0.4178,141.89,373.456,1.8914,-4.621,6,1,270.97,0.4178,141.89,1,25,8,0,8,0,3,3,6,6,0,3,1,2,0,2,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0.001,298,1,1,HCl,PDP
comp_1,"2-[(6-ethyl-4-hydroxy-2,5-dioxo-5,6-dihydro-2 H -pyrano [3,2- c ]quinolin-3-yl)methylidene] hydrazinecarbodithioic acid",CCn3c(=O)c1c(C)c(/C=N/NC(=S)S)c(=O)oc1c2ccccc23,52.17,8.824037,1.676545,7.147492,9.961496,-8.824037,-1.676545,5.250291,3.573746,0.279818431,3.856675262,-0.244800414,373.456,1.8914,-4.621,6,1,270.97,0.4178,141.89,373.456,1.8914,-4.621,6,1,270.97,0.4178,141.89,1,25,8,0,8,0,3,3,6,6,0,3,1,2,0,2,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0.0000001,298,1,1,HCl,EIS
comp_1,"2-[(6-ethyl-4-hydroxy-2,5-dioxo-5,6-dihydro-2 H -pyrano [3,2- c ]quinolin-3-yl)methylidene] hydrazinecarbodithioic acid",CCn3c(=O)c1c(C)c(/C=N/NC(=S)S)c(=O)oc1c2ccccc23,62.72,8.824037,1.676545,7.147492,9.961496,-8.824037,-1.676545,5.250291,3.573746,0.279818431,3.856675262,-0.244800414,373.456,1.8914,-4.621,6,1,270.97,0.4178,141.89,373.456,1.8914,-4.621,6,1,270.97,0.4178,141.89,1,25,8,0,8,0,3,3,6,6,0,3,1,2,0,2,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0.000001,298,1,1,HCl,EIS
comp_1,"2-[(6-ethyl-4-hydroxy-2,5-dioxo-5,6-dihydro-2 H -pyrano [3,2- c ]quinolin-3-yl)methylidene] hydrazinecarbodithioic acid",CCn3c(=O)c1c(C)c(/C=N/NC(=S)S)c(=O)oc1c2ccccc23,67.78,8.824037,1.676545,7.147492,9.961496,-8.824037,-1.676545,5.250291,3.573746,0.279818431,3.856675262,-0.244800414,373.456,1.8914,-4.621,6,1,270.97,0.4178,141.89,373.456,1.8914,-4.621,6,1,270.97,0.4178,141.89,1,25,8,0,8,0,3,3,6,6,0,3,1,2,0,2,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0.00001,298,1,1,HCl,EIS
comp_1,"2-[(6-ethyl-4-hydroxy-2,5-dioxo-5,6-dihydro-2 H -pyrano [3,2- c ]quinolin-3-yl)methylidene] hydrazinecarbodithioic acid",CCn3c(=O)c1c(C)c(/C=N/NC(=S)S)c(=O)oc1c2ccccc23,75.11,8.824037,1.676545,7.147492,9.961496,-8.824037,-1.676545,5.250291,3.573746,0.279818431,3.856675262,-0.244800414,373.456,1.8914,-4.621,6,1,270.97,0.4178,141.89,373.456,1.8914,-4.621,6,1,270.97,0.4178,141.89,1,25,8,0,8,0,3,3,6,6,0,3,1,2,0,2,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0.0001,298,1,1,HCl,EIS
comp_1,"2-[(6-ethyl-4-hydroxy-2,5-dioxo-5,6-dihydro-2 H -pyrano [3,2- c ]quinolin-3-yl)methylidene] hydrazinecarbodithioic acid",CCn3c(=O)c1c(C)c(/C=N/NC(=S)S)c(=O)oc1c2ccccc23,87.93,8.824037,1.676545,7.147492,9.961496,-8.824037,-1.676545,5.250291,3.573746,0.279818431,3.856675262,-0.244800414,373.456,1.8914,-4.621,6,1,270.97,0.4178,141.89,373.456,1.8914,-4.621,6,1,270.97,0.4178,141.89,1,25,8,0,8,0,3,3,6,6,0,3,1,2,0,2,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0.001,298,1,1,HCl,EIS
