comp_ref,Compound,smiles,HOMO,HOMO_1,HOMO_2,HOMO_3,LUMO,Dipole,Polar,Egap,IP,EA,Electronegativity,Chemical hardness,Electrophilicity,deltaN,cLogP,cLogS,Total Surface Area,Polar Surface Area,Relative PSA,ConcInh_M,TempK,Time_H,Med_ConcM,Med_ID,Method,IE
comp_1,"2-[(6-ethyl-4-hydroxy-2,5-dioxo-5,6-dihydro-2 H -pyrano [3,2- c ]quinolin-3-yl)methylidene] hydrazinecarbodithioic acid",CCn3c(=O)c1c(C)c(/C=N/NC(=S)S)c(=O)oc1c2ccccc23,-6.239026638,-6.320932911,-6.680939551,-7.225983618,-3.067811685,13.055,503.49,3.171214953,6.185178026,3.257484571,4.721331299,1.463846727,3.806916533,-0.151198411,1.8914,-4.621,270.97,141.89,0.4178,0.0000001,298,1,1,HCl,PDP,55.3
comp_1,"2-[(6-ethyl-4-hydroxy-2,5-dioxo-5,6-dihydro-2 H -pyrano [3,2- c ]quinolin-3-yl)methylidene] hydrazinecarbodithioic acid",CCn3c(=O)c1c(C)c(/C=N/NC(=S)S)c(=O)oc1c2ccccc23,-6.239026638,-6.320932911,-6.680939551,-7.225983618,-3.067811685,13.055,503.49,3.171214953,6.185178026,3.257484571,4.721331299,1.463846727,3.806916533,-0.151198411,1.8914,-4.621,270.97,141.89,0.4178,0.000001,298,1,1,HCl,PDP,59
comp_1,"2-[(6-ethyl-4-hydroxy-2,5-dioxo-5,6-dihydro-2 H -pyrano [3,2- c ]quinolin-3-yl)methylidene] hydrazinecarbodithioic acid",CCn3c(=O)c1c(C)c(/C=N/NC(=S)S)c(=O)oc1c2ccccc23,-6.239026638,-6.320932911,-6.680939551,-7.225983618,-3.067811685,13.055,503.49,3.171214953,6.185178026,3.257484571,4.721331299,1.463846727,3.806916533,-0.151198411,1.8914,-4.621,270.97,141.89,0.4178,0.00001,298,1,1,HCl,PDP,65.6
comp_1,"2-[(6-ethyl-4-hydroxy-2,5-dioxo-5,6-dihydro-2 H -pyrano [3,2- c ]quinolin-3-yl)methylidene] hydrazinecarbodithioic acid",CCn3c(=O)c1c(C)c(/C=N/NC(=S)S)c(=O)oc1c2ccccc23,-6.239026638,-6.320932911,-6.680939551,-7.225983618,-3.067811685,13.055,503.49,3.171214953,6.185178026,3.257484571,4.721331299,1.463846727,3.806916533,-0.151198411,1.8914,-4.621,270.97,141.89,0.4178,0.0001,298,1,1,HCl,PDP,70.1
comp_1,"2-[(6-ethyl-4-hydroxy-2,5-dioxo-5,6-dihydro-2 H -pyrano [3,2- c ]quinolin-3-yl)methylidene] hydrazinecarbodithioic acid",CCn3c(=O)c1c(C)c(/C=N/NC(=S)S)c(=O)oc1c2ccccc23,-6.239026638,-6.320932911,-6.680939551,-7.225983618,-3.067811685,13.055,503.49,3.171214953,6.185178026,3.257484571,4.721331299,1.463846727,3.806916533,-0.151198411,1.8914,-4.621,270.97,141.89,0.4178,0.001,298,1,1,HCl,PDP,85.1
comp_1,"2-[(6-ethyl-4-hydroxy-2,5-dioxo-5,6-dihydro-2 H -pyrano [3,2- c ]quinolin-3-yl)methylidene] hydrazinecarbodithioic acid",CCn3c(=O)c1c(C)c(/C=N/NC(=S)S)c(=O)oc1c2ccccc23,-6.239026638,-6.320932911,-6.680939551,-7.225983618,-3.067811685,13.055,503.49,3.171214953,6.185178026,3.257484571,4.721331299,1.463846727,3.806916533,-0.151198411,1.8914,-4.621,270.97,141.89,0.4178,0.0000001,298,1,1,HCl,EIS,52.17
comp_1,"2-[(6-ethyl-4-hydroxy-2,5-dioxo-5,6-dihydro-2 H -pyrano [3,2- c ]quinolin-3-yl)methylidene] hydrazinecarbodithioic acid",CCn3c(=O)c1c(C)c(/C=N/NC(=S)S)c(=O)oc1c2ccccc23,-6.239026638,-6.320932911,-6.680939551,-7.225983618,-3.067811685,13.055,503.49,3.171214953,6.185178026,3.257484571,4.721331299,1.463846727,3.806916533,-0.151198411,1.8914,-4.621,270.97,141.89,0.4178,0.000001,298,1,1,HCl,EIS,62.72
comp_1,"2-[(6-ethyl-4-hydroxy-2,5-dioxo-5,6-dihydro-2 H -pyrano [3,2- c ]quinolin-3-yl)methylidene] hydrazinecarbodithioic acid",CCn3c(=O)c1c(C)c(/C=N/NC(=S)S)c(=O)oc1c2ccccc23,-6.239026638,-6.320932911,-6.680939551,-7.225983618,-3.067811685,13.055,503.49,3.171214953,6.185178026,3.257484571,4.721331299,1.463846727,3.806916533,-0.151198411,1.8914,-4.621,270.97,141.89,0.4178,0.00001,298,1,1,HCl,EIS,67.78
comp_1,"2-[(6-ethyl-4-hydroxy-2,5-dioxo-5,6-dihydro-2 H -pyrano [3,2- c ]quinolin-3-yl)methylidene] hydrazinecarbodithioic acid",CCn3c(=O)c1c(C)c(/C=N/NC(=S)S)c(=O)oc1c2ccccc23,-6.239026638,-6.320932911,-6.680939551,-7.225983618,-3.067811685,13.055,503.49,3.171214953,6.185178026,3.257484571,4.721331299,1.463846727,3.806916533,-0.151198411,1.8914,-4.621,270.97,141.89,0.4178,0.0001,298,1,1,HCl,EIS,75.11
comp_1,"2-[(6-ethyl-4-hydroxy-2,5-dioxo-5,6-dihydro-2 H -pyrano [3,2- c ]quinolin-3-yl)methylidene] hydrazinecarbodithioic acid",CCn3c(=O)c1c(C)c(/C=N/NC(=S)S)c(=O)oc1c2ccccc23,-6.239026638,-6.320932911,-6.680939551,-7.225983618,-3.067811685,13.055,503.49,3.171214953,6.185178026,3.257484571,4.721331299,1.463846727,3.806916533,-0.151198411,1.8914,-4.621,270.97,141.89,0.4178,0.001,298,1,1,HCl,EIS,87.93
