comp_ref,Solvent Accessible SA,Mol Volume calc,Int_E_eV,HOMO,HOMO-1,HOMO-2,HOMO-3,HOMO-4,LUMO,LUMO+1,LUMO+2,LUMO+3,LUMO+4,Dipole,Polar,Egap,IP,EA,Electronegativity,Chemical hardness,Electrophilicity,dN,cLogP,cLogS,Total Surface Area,Polar Surface Area,Relative PSA,LogConcInh_M,TempK,Time_H,Med_ConcM,aveIE,Med_ID_H2SO4,Med_ID_H3PO4,Med_ID_HCl,Med_ID_HClO4,Med_ID_HNO3,Med_ID_NaCl,Med_ID_NaOH
comp_1,379.1538048,303.584,-2.546167671,-6.239026638,-6.320932911,-6.680939551,-7.225983618,-7.306257207,-3.067811685,-2.103712271,-1.672683913,-0.951582177,-0.78831386,13.055,503.49,3.171214953,6.185178026,3.257484571,4.721331299,1.463846727,3.806916533,-0.151198411,1.8914,-4.621,270.97,141.89,0.4178,7.00,298,1,1,54.48666667,0,0,1,0,0,0,0
comp_1,379.1538048,303.584,-2.546167671,-6.239026638,-6.320932911,-6.680939551,-7.225983618,-7.306257207,-3.067811685,-2.103712271,-1.672683913,-0.951582177,-0.78831386,13.055,503.49,3.171214953,6.185178026,3.257484571,4.721331299,1.463846727,3.806916533,-0.151198411,1.8914,-4.621,270.97,141.89,0.4178,6.00,298,1,1,62.22,0,0,1,0,0,0,0
comp_1,379.1538048,303.584,-2.546167671,-6.239026638,-6.320932911,-6.680939551,-7.225983618,-7.306257207,-3.067811685,-2.103712271,-1.672683913,-0.951582177,-0.78831386,13.055,503.49,3.171214953,6.185178026,3.257484571,4.721331299,1.463846727,3.806916533,-0.151198411,1.8914,-4.621,270.97,141.89,0.4178,5.00,298,1,1,67.51,0,0,1,0,0,0,0
comp_1,379.1538048,303.584,-2.546167671,-6.239026638,-6.320932911,-6.680939551,-7.225983618,-7.306257207,-3.067811685,-2.103712271,-1.672683913,-0.951582177,-0.78831386,13.055,503.49,3.171214953,6.185178026,3.257484571,4.721331299,1.463846727,3.806916533,-0.151198411,1.8914,-4.621,270.97,141.89,0.4178,4.00,298,1,1,73.33,0,0,1,0,0,0,0
comp_1,379.1538048,303.584,-2.546167671,-6.239026638,-6.320932911,-6.680939551,-7.225983618,-7.306257207,-3.067811685,-2.103712271,-1.672683913,-0.951582177,-0.78831386,13.055,503.49,3.171214953,6.185178026,3.257484571,4.721331299,1.463846727,3.806916533,-0.151198411,1.8914,-4.621,270.97,141.89,0.4178,3.00,298,1,1,87.77666667,0,0,1,0,0,0,0
comp_10,208.6764203,154.44,0.620266645,-7.305712979,-7.37972795,-7.694019461,-7.915792259,-9.154454561,-0.465042591,-0.250888981,-0.076191881,0.208439219,0.254698575,3.3339,145.35,6.840670388,7.323365278,1.108282482,4.21582388,3.107541398,1.429841852,0.091447252,1.1808,-2.084,140.73,29.46,0.16414,3.00,298,24,0.5,85.6,1,0,0,0,0,0,0
comp_100,197.9829006,125.16,-0.346000785,-6.170181831,-6.649374343,-8.98111803,-9.170781393,-9.54330527,-0.184765313,0.120546441,0.178778808,0.245990932,0.81579736,2.8057,122.5,5.985416519,6.127194698,0.774955763,3.451075231,2.676119468,1.112611039,0.391957378,0.0864,-0.856,99.96,24.06,0.22929,4.00,298,1,0.1,46.32,0,0,0,1,0,0,0
comp_100,197.9829006,125.16,-0.346000785,-6.170181831,-6.649374343,-8.98111803,-9.170781393,-9.54330527,-0.184765313,0.120546441,0.178778808,0.245990932,0.81579736,2.8057,122.5,5.985416519,6.127194698,0.774955763,3.451075231,2.676119468,1.112611039,0.391957378,0.0864,-0.856,99.96,24.06,0.22929,3.00,298,1,0.1,60.72,0,0,0,1,0,0,0
comp_100,197.9829006,125.16,-0.346000785,-6.170181831,-6.649374343,-8.98111803,-9.170781393,-9.54330527,-0.184765313,0.120546441,0.178778808,0.245990932,0.81579736,2.8057,122.5,5.985416519,6.127194698,0.774955763,3.451075231,2.676119468,1.112611039,0.391957378,0.0864,-0.856,99.96,24.06,0.22929,2.30,298,1,0.1,66.5,0,0,0,1,0,0,0
comp_100,197.9829006,125.16,-0.346000785,-6.170181831,-6.649374343,-8.98111803,-9.170781393,-9.54330527,-0.184765313,0.120546441,0.178778808,0.245990932,0.81579736,2.8057,122.5,5.985416519,6.127194698,0.774955763,3.451075231,2.676119468,1.112611039,0.391957378,0.0864,-0.856,99.96,24.06,0.22929,2.00,298,1,0.1,77.79,0,0,0,1,0,0,0
